,Replica,run,conf,frame,tpore,x0,y0,x1,y1,x2,y2,x3,y3,membrane
78,APM-hyp_2,19,9,32,3.2,150,16,,,,,,,APM-hyp
79,APM-hyp_2,20,9,22,2.2,36,215,,,,,,,APM-hyp
80,APM-hyp_2,21,9,44,4.4,58,156,249.0,222.0,,,,,APM-hyp
81,APM-hyp_2,22,9,20,2.0,276,286,,,,,,,APM-hyp
82,APM-hyp_2,23,9,15,1.5,275,272,,,,,,,APM-hyp
83,APM-hyp_2,24,9,25,2.5,277,273,,,,,,,APM-hyp
84,APM-hyp_2,25,9,20,2.0,273,272,,,,,,,APM-hyp
85,APM-hyp_2,26,9,21,2.1,50,294,260.0,259.0,,,,,APM-hyp
86,APM-hyp_2,27,9,31,3.1,273,288,,,,,,,APM-hyp
87,APM-hyp_2,28,9,21,2.1,164,104,,,,,,,APM-hyp
88,APM-hyp_2,29,9,8,0.8,270,272,,,,,,,APM-hyp
89,APM-hyp_2,30,9,16,1.6,246,219,,,,,,,APM-hyp
90,APM-hyp_2,31,9,13,1.3,245,230,,,,,,,APM-hyp
91,APM-hyp_2,32,9,23,2.3,264,200,,,,,,,APM-hyp
92,APM-hyp_2,33,9,21,2.1,128,287,,,,,,,APM-hyp
93,APM-hyp_2,34,9,32,3.2,291,272,,,,,,,APM-hyp
94,APM-hyp_2,35,9,33,3.3,264,229,,,,,,,APM-hyp
95,APM-hyp_2,36,9,25,2.5,154,106,,,,,,,APM-hyp
96,APM-hyp_2,37,9,14,1.4,58,295,,,,,,,APM-hyp
97,APM-hyp_2,38,9,25,2.5,244,238,,,,,,,APM-hyp
98,APM-hyp_2,39,9,25,2.5,271,226,,,,,,,APM-hyp
99,APM-hyp_2,40,9,20,2.0,280,267,,,,,,,APM-hyp
100,APM-hyp_2,41,9,16,1.6,92,35,,,,,,,APM-hyp
101,APM-hyp_2,42,9,17,1.7,266,243,278.0,64.0,,,,,APM-hyp
102,APM-hyp_2,43,9,31,3.1,285,257,,,,,,,APM-hyp
103,APM-hyp_2,44,9,16,1.6,267,266,,,,,,,APM-hyp
104,APM-hyp_2,45,9,19,1.9,93,118,,,,,,,APM-hyp
105,APM-hyp_2,46,9,19,1.9,249,221,,,,,,,APM-hyp
106,APM-hyp_2,47,9,15,1.5,270,267,,,,,,,APM-hyp
107,APM-hyp_2,48,9,19,1.9,245,221,,,,,,,APM-hyp
108,APM-hyp_2,49,9,17,1.7,280,272,,,,,,,APM-hyp
109,APM-hyp_2,50,9,34,3.4,285,293,,,,,,,APM-hyp
110,APM-hyp_2,51,9,26,2.6,130,6,,,,,,,APM-hyp
111,APM-hyp_2,52,9,25,2.5,271,259,,,,,,,APM-hyp
112,APM-hyp_2,53,9,25,2.5,261,238,,,,,,,APM-hyp
113,APM-hyp_2,54,9,20,2.0,107,39,,,,,,,APM-hyp
114,APM-hyp_2,55,9,17,1.7,276,272,,,,,,,APM-hyp
115,APM-hyp_2,56,9,19,1.9,276,268,,,,,,,APM-hyp
116,APM-hyp_2,57,9,26,2.6,153,3,245.0,222.0,261.0,264.0,,,APM-hyp
117,APM-hyp_2,58,9,26,2.6,132,20,,,,,,,APM-hyp
118,APM-hyp_2,59,9,20,2.0,273,274,,,,,,,APM-hyp
119,APM-hyp_2,60,9,19,1.9,281,260,,,,,,,APM-hyp
120,APM-hyp_3,1,9,14,1.4,86,82,,,,,,,APM-hyp
121,APM-hyp_3,2,9,13,1.3,255,275,,,,,,,APM-hyp
122,APM-hyp_3,3,9,31,3.1,253,272,,,,,,,APM-hyp
123,APM-hyp_3,4,9,14,1.4,246,260,,,,,,,APM-hyp
124,APM-hyp_3,5,9,14,1.4,91,124,,,,,,,APM-hyp
125,APM-hyp_3,6,9,25,2.5,23,287,,,,,,,APM-hyp
126,APM-hyp_3,7,9,21,2.1,60,295,240.0,267.0,,,,,APM-hyp
127,APM-hyp_3,8,9,31,3.1,294,123,,,,,,,APM-hyp
128,APM-hyp_3,9,9,23,2.3,208,28,,,,,,,APM-hyp
