,Replica,run,conf,frame,tpore,x0,y0,x1,y1,x2,y2,x3,y3
112,BPM_2,53,9,70,7.0,134,51,,,,,,
113,BPM_2,54,9,25,2.5,292,291,,,,,,
114,BPM_2,55,9,67,6.7,295,75,212,212,,,,
115,BPM_2,56,9,84,8.4,56,105,,,,,,
116,BPM_2,57,9,98,9.8,280,276,,,,,,
117,BPM_2,58,9,37,3.7,14,207,,,,,,
118,BPM_2,59,9,25,2.5,38,198,,,,,,
119,BPM_2,60,9,43,4.3,261,76,,,,,,
120,BPM_3,1,9,55,5.5,82,155,,,,,,
121,BPM_3,2,10,90,19.0,240,161,,,,,,
122,BPM_3,3,10,60,16.0,242,169,,,,,,
123,BPM_3,4,9,44,4.4,194,220,,,,,,
124,BPM_3,5,10,57,15.7,243,195,,,,,,
125,BPM_3,6,10,62,16.2,166,236,239,143,,,,
126,BPM_3,7,10,16,11.6,216,212,,,,,,
127,BPM_3,8,9,50,5.0,255,204,,,,,,
128,BPM_3,9,10,10,11.0,138,224,,,,,,
129,BPM_3,10,9,32,3.2,128,250,,,,,,
130,BPM_3,11,10,57,15.7,104,186,,,,,,
131,BPM_3,12,10,45,14.5,228,192,,,,,,
132,BPM_3,13,9,87,8.7,45,295,,,,,,
133,BPM_3,14,10,6,10.6,171,201,149,243,,,,
134,BPM_3,15,9,49,4.9,122,237,,,,,,
135,BPM_3,16,9,45,4.5,156,240,,,,,,
136,BPM_3,17,10,25,12.5,171,196,,,,,,
137,BPM_3,18,9,89,8.9,121,237,,,,,,
138,BPM_3,19,10,99,19.9,182,87,198,208,,,,
139,BPM_3,20,9,85,8.5,274,169,,,,,,
140,BPM_3,21,9,38,3.8,126,238,,,,,,
141,BPM_3,22,10,16,11.6,210,220,,,,,,
142,BPM_3,23,10,35,13.5,184,210,,,,,,
143,BPM_3,24,10,37,13.7,129,249,,,,,,
144,BPM_3,25,10,11,11.1,61,19,,,,,,
145,BPM_3,26,9,73,7.3,128,250,,,,,,
146,BPM_3,27,9,73,7.3,199,200,,,,,,
147,BPM_3,28,10,81,18.1,207,215,,,,,,
148,BPM_3,29,9,71,7.1,178,219,,,,,,
149,BPM_3,30,9,55,5.5,202,212,,,,,,
150,BPM_3,31,9,60,6.0,156,222,,,,,,
151,BPM_3,32,9,33,3.3,126,255,,,,,,
152,BPM_3,33,9,77,7.7,193,215,,,,,,
153,BPM_3,34,9,105,10.5,198,222,,,,,,
154,BPM_3,35,9,82,8.2,192,210,,,,,,
155,BPM_3,36,9,78,7.8,214,215,,,,,,
156,BPM_3,37,9,116,11.6,163,226,,,,,,
157,BPM_3,38,9,19,1.9,123,255,,,,,,
158,BPM_3,39,9,100,10.0,192,224,,,,,,
159,BPM_3,40,9,198,19.8,193,220,,,,,,
160,BPM_3,41,9,37,3.7,207,215,,,,,,
161,BPM_3,42,9,28,2.8,169,244,,,,,,
162,BPM_3,43,9,19,1.9,141,238,,,,,,
163,BPM_3,44,9,88,8.8,241,10,,,,,,
164,BPM_3,45,9,92,9.2,203,72,,,,,,
165,BPM_3,46,9,125,12.5,177,204,,,,,,
166,BPM_3,47,9,32,3.2,99,200,,,,,,
167,BPM_3,48,9,51,5.1,167,245,,,,,,
168,BPM_3,49,9,93,9.3,168,215,,,,,,
169,BPM_3,50,9,65,6.5,59,282,,,,,,
170,BPM_3,51,9,151,15.1,233,211,,,,,,
171,BPM_3,52,9,87,8.7,230,207,,,,,,
172,BPM_3,53,9,88,8.8,93,108,,,,,,
173,BPM_3,54,9,92,9.2,129,229,,,,,,
174,BPM_3,55,9,85,8.5,218,212,,,,,,
175,BPM_3,56,9,108,10.8,95,105,,,,,,
176,BPM_3,57,9,31,3.1,126,255,,,,,,
177,BPM_3,58,9,50,5.0,133,246,,,,,,
178,BPM_3,59,9,43,4.3,123,240,,,,,,
179,BPM_3,60,9,63,6.3,120,233,,,,,,
180,BPM_4,1,9,66,6.6,4,134,,,,,,
181,BPM_4,2,9,37,3.7,63,124,,,,,,
182,BPM_4,3,9,31,3.1,150,57,,,,,,
183,BPM_4,4,9,97,9.7,117,238,,,,,,
184,BPM_4,5,9,69,6.9,180,85,,,,,,
185,BPM_4,6,9,31,3.1,147,199,,,,,,
186,BPM_4,7,9,91,9.1,299,40,,,,,,
187,BPM_4,8,9,55,5.5,153,93,,,,,,
188,BPM_4,9,11,11,21.1,118,194,,,,,,
189,BPM_4,10,9,89,8.9,273,56,,,,,,
190,BPM_4,11,9,90,9.0,142,59,,,,,,
191,BPM_4,12,10,12,11.2,193,67,,,,,,
192,BPM_4,13,9,39,3.9,197,64,,,,,,
193,BPM_4,14,9,88,8.8,268,135,,,,,,
194,BPM_4,15,9,43,4.3,93,231,,,,,,
195,BPM_4,16,9,80,8.0,218,76,,,,,,
196,BPM_4,17,10,2,10.2,236,53,,,,,,
197,BPM_4,18,9,31,3.1,53,143,,,,,,
198,BPM_4,19,10,3,10.3,70,144,,,,,,
199,BPM_4,20,9,81,8.1,128,200,,,,,,
200,BPM_4,21,9,25,2.5,180,64,,,,,,
201,BPM_4,22,9,49,4.9,64,133,,,,,,
202,BPM_4,23,9,94,9.4,204,79,,,,,,
203,BPM_4,24,9,73,7.3,79,142,,,,,,
204,BPM_4,25,9,37,3.7,185,65,,,,,,
205,BPM_4,26,9,77,7.7,153,35,,,,,,
206,BPM_4,27,9,98,9.8,115,245,,,,,,
207,BPM_4,28,9,55,5.5,151,72,,,,,,
208,BPM_4,29,9,98,9.8,77,144,,,,,,
209,BPM_4,30,9,85,8.5,155,84,,,,,,
210,BPM_4,31,9,77,7.7,173,108,,,,,,
211,BPM_4,32,9,43,4.3,62,126,,,,,,
212,BPM_4,33,9,43,4.3,63,135,,,,,,
213,BPM_4,34,9,33,3.3,110,242,,,,,,
214,BPM_4,35,9,49,4.9,180,60,,,,,,
215,BPM_4,36,9,87,8.7,176,85,,,,,,
216,BPM_4,37,9,117,11.7,122,250,,,,,,
217,BPM_4,38,9,98,9.8,247,59,,,,,,
218,BPM_4,39,9,69,6.9,219,94,,,,,,
219,BPM_4,40,9,52,5.2,166,122,,,,,,
220,BPM_4,41,9,82,8.2,163,84,,,,,,
221,BPM_4,42,9,73,7.3,193,69,,,,,,
222,BPM_4,43,9,70,7.0,189,59,,,,,,
223,BPM_4,44,9,90,9.0,53,153,,,,,,
224,BPM_4,45,9,89,8.9,120,253,142,201,,,,
225,BPM_4,46,9,115,11.5,204,68,269,155,,,,
226,BPM_4,47,9,61,6.1,63,130,,,,,,
227,BPM_4,48,9,50,5.0,263,58,,,,,,
228,BPM_4,49,9,89,8.9,151,51,58,124,,,,
229,BPM_4,50,9,86,8.6,200,111,,,,,,
230,BPM_4,51,9,62,6.2,187,245,,,,,,
231,BPM_4,52,9,69,6.9,166,117,196,77,,,,
232,BPM_4,53,9,72,7.2,301,50,,,,,,
233,BPM_4,54,9,39,3.9,169,44,,,,,,
234,BPM_4,55,9,93,9.3,163,41,,,,,,
235,BPM_4,56,9,88,8.8,183,91,,,,,,
236,BPM_4,57,9,55,5.5,152,60,,,,,,
237,BPM_4,58,9,43,4.3,21,71,,,,,,
238,BPM_4,59,9,122,12.2,166,55,,,,,,
239,BPM_4,60,9,78,7.8,173,58,,,,,,
