,Replica,run,conf,frame,tpore,x0,y0,x1,y1,x2,y2,x3,y3
98,BPM-hyp_2,39,9,26,2.6,27,196,,,,,,
99,BPM-hyp_2,40,9,31,3.1,25,211,,,,,,
100,BPM-hyp_2,41,9,24,2.4,25,196,212,214,,,,
101,BPM-hyp_2,42,9,37,3.7,12,204,,,,,,
102,BPM-hyp_2,43,9,25,2.5,146,36,,,,,,
103,BPM-hyp_2,44,9,25,2.5,291,124,,,,,,
104,BPM-hyp_2,45,9,43,4.3,23,212,,,,,,
105,BPM-hyp_2,46,9,85,8.5,21,284,,,,,,
106,BPM-hyp_2,47,9,31,3.1,271,262,,,,,,
107,BPM-hyp_2,48,9,31,3.1,8,225,,,,,,
108,BPM-hyp_2,49,9,21,2.1,70,91,,,,,,
109,BPM-hyp_2,50,9,50,5.0,26,192,,,,,,
110,BPM-hyp_2,51,9,14,1.4,5,208,,,,,,
111,BPM-hyp_2,52,9,43,4.3,289,114,,,,,,
112,BPM-hyp_2,53,9,20,2.0,212,201,,,,,,
113,BPM-hyp_2,54,9,37,3.7,146,297,,,,,,
114,BPM-hyp_2,55,9,37,3.7,276,294,,,,,,
115,BPM-hyp_2,56,9,15,1.5,292,293,,,,,,
116,BPM-hyp_2,57,9,21,2.1,33,197,,,,,,
117,BPM-hyp_2,58,9,43,4.3,292,294,,,,,,
118,BPM-hyp_2,59,9,26,2.6,21,204,,,,,,
119,BPM-hyp_2,60,9,43,4.3,59,95,,,,,,
120,BPM-hyp_3,1,9,64,6.4,166,252,,,,,,
121,BPM-hyp_3,2,9,93,9.3,6,6,,,,,,
122,BPM-hyp_3,3,9,37,3.7,202,245,,,,,,
123,BPM-hyp_3,4,9,61,6.1,250,293,,,,,,
124,BPM-hyp_3,5,9,69,6.9,270,184,,,,,,
125,BPM-hyp_3,6,9,78,7.8,181,211,,,,,,
126,BPM-hyp_3,7,9,26,2.6,141,249,,,,,,
127,BPM-hyp_3,8,9,46,4.6,259,161,,,,,,
128,BPM-hyp_3,9,9,103,10.3,99,190,,,,,,
129,BPM-hyp_3,10,9,40,4.0,204,213,,,,,,
130,BPM-hyp_3,11,9,31,3.1,94,74,133,265,,,,
131,BPM-hyp_3,12,9,66,6.6,96,195,,,,,,
132,BPM-hyp_3,13,9,31,3.1,228,26,,,,,,
133,BPM-hyp_3,14,9,49,4.9,138,244,,,,,,
134,BPM-hyp_3,15,9,49,4.9,243,153,,,,,,
135,BPM-hyp_3,16,9,43,4.3,186,218,,,,,,
136,BPM-hyp_3,17,9,104,10.4,260,174,,,,,,
137,BPM-hyp_3,18,9,19,1.9,124,241,,,,,,
