,x_rel,y_rel,tpore,frame,parea_mean,densS7_mean,mcurv_mean,charg_mean,order_mean_mean,parea_diff,densS7_diff,FS,MU,PU,ZWIT,NCHG,SUG,CHOL,PC,PE,SM,PS,GM,CE,LPC,DAG,PI,PA,PIP
14,0.9237331177,0.3443883052,2.1,1,50.1180739,1.070547403,0.00160067735,-0.133318732,0.2968820335,-3.214142628,-0.005794354674,0.07437665587,0.7091173607,0.7521948383,1.314779848,0.2209090064,0.007621409603,0.4643111452,0.6313419442,0.3824270331,0.2600517244,0.2132875968,0.0,0.0,0.0409591466,0.0,0.0,0.0,0.007621409603
15,0.1287432917,0.7660225854,7.7,1,63.46186498,0.903505118,0.00560180708,-0.08731766649,0.2630359163,-1.767871927,-0.01649412827,0.07008031226,0.3916045318,1.142723304,1.404407863,0.174635333,0.02487938625,0.395591852,1.057552401,0.2151675981,0.1248093368,0.1497559467,0.0,0.0,0.006878527182,0.02536495189,0.02487938625,0.0,0.0
16,0.3830112927,0.2156450135,3.8,1,64.30370847,0.8873943371,0.001007262603,-0.2199021202,0.2621590294,8.530657546,-0.1457454902,0.09468644787,0.5864738403,0.8075419073,1.120256154,0.3684460416,0.2431902326,0.5112978046,0.9158263578,0.1628729478,0.04155684824,0.125255809,0.08644767356,0.0,0.0,0.0,0.1389030093,0.0,0.0178395497
17,0.7048695219,0.1190875448,4.7,1,55.47550142,1.013546886,-0.001782012035,-0.1560634037,0.2378090783,-17.36076639,0.2064559827,0.06251357324,0.4188043732,0.9818316809,1.142385292,0.3062449292,0.003242548502,0.5368503727,0.8357535556,0.195746202,0.1108855341,0.2971205025,0.0,0.0,0.0,0.01451940638,0.003242548502,0.005881878202,0.0
18,0.7917712438,0.7982084084,4.3,1,61.98758086,0.9292884574,0.008003008948,-0.2074982552,0.3012673073,6.173050712,-0.1079500757,0.2450364298,0.9541312762,0.32949059,1.38022279,0.1484355063,0.1423207591,0.4713417039,0.6090962579,0.1665817562,0.5808377898,0.0,0.0,0.0,0.02370698583,0.0,0.01209763068,0.006114747254,0.1302231284
19,0.7885526615,0.8625800542,3.1,1,56.82322364,0.9845702096,0.004041662656,-0.2345316584,0.2809105489,16.95282843,-0.2025747144,0.09744536204,0.1641449998,1.274646057,1.220230035,0.316006384,0.1066241188,0.4637635813,0.834285071,0.2660807103,0.0975814988,0.05632533243,0.0,0.0,0.02228275461,0.0,0.1066241188,0.1530569328,0.0
20,0.9398260292,0.3701369636,3.2,1,50.53026432,1.056319712,-0.00584909108,-0.1167566635,0.2793317635,-10.30802626,0.07436541302,0.0067701904,0.7077377083,0.9256538756,1.406648447,0.233513327,0.01302374635,0.3598382257,0.6543651616,0.4891791792,0.1611447194,0.2204895806,0.0,0.0,0.1019593871,0.0,0.01302374635,0.0,0.0
21,0.1512733677,0.7885526615,2.3,1,57.83219564,0.9722708134,0.005129977746,-0.1101200934,0.2152361179,-10.67941438,0.1666208918,0.03175253741,0.5566632289,1.020028154,1.395382975,0.2067501273,0.1071049019,0.3915560802,1.049142794,0.1969700229,0.1492701589,0.09964522539,0.0,0.0,0.0,0.006310817109,0.1048565587,0.0,0.002248343238
22,0.1834591906,0.7949898261,4.1,1,55.7156838,1.020285087,-0.0111875538,-0.08758426936,0.1770980361,-24.97165025,0.3400130266,0.05649982671,0.5922748078,0.7242553134,1.196453392,0.1751685387,0.1573565571,0.6269700521,0.7090277977,0.2390828678,0.2483427269,0.0178119816,0.0,0.0,0.0,0.001408016818,0.1573565571,0.0,0.0
23,0.9527003584,0.3765741281,3.4,1,51.50441964,1.045358768,-0.005147726503,-0.1098786188,0.246140599,-13.63511081,0.0823102986,0.003330937355,0.6630705431,0.9311970971,1.37784134,0.2197572377,0.04654923156,0.4024014225,0.6814767149,0.4220977051,0.157504612,0.1732080061,0.0,0.0,0.1167623079,0.0,0.04654923156,0.0,0.0
24,0.4763501792,0.8368313959,1.3,1,58.13808807,0.9739701795,0.007883896254,-0.04022693649,0.1671920073,-14.4136194,0.1426302805,0.04057557708,0.4340322896,0.5000617395,0.9012522074,0.05525404755,0.0279671344,1.025330394,0.4456973198,0.1966440962,0.2589107913,0.002087087708,0.0,0.01816335127,0.0,0.0,0.0279671344,0.02519982544,0.0
25,0.08690172188,0.7982084084,3.1,1,62.97563446,0.9533076063,-0.001209002393,-0.2145844234,0.2571729433,10.15152795,-0.1787513789,0.2082332738,0.4395839431,0.8620008102,1.176147768,0.1879838293,0.05079609894,0.4901819729,0.5600624011,0.3468764425,0.2112488226,0.1371877303,0.01059859603,0.0,0.05796010171,0.1456864298,0.0,0.0,0.04019750291
26,0.7434925094,0.1351804563,5.1,1,48.58511781,1.073235813,-0.003420165248,-0.09414883694,0.2791594225,-7.774844198,0.08179504272,0.205632148,0.5300582527,0.8356532422,1.43152077,0.1398228726,0.07337642824,0.4286563571,0.8910946382,0.268058433,0.272367699,0.05641681707,0.0,0.0,0.0,0.0,0.06696889925,0.01002962732,0.00640752899
27,0.8851101302,0.3797927104,2.7,1,56.03390218,1.019743044,-0.001449687316,-0.0965714828,0.3146391252,-7.678680524,0.08052957994,0.1116317142,0.7215130038,0.6234649842,1.217488748,0.1931429656,0.00342550872,0.5433902978,0.3406679695,0.5140225959,0.3051108947,0.1897174569,0.0,0.04597798906,0.05768728739,0.0,0.00342550872,0.0,0.0
28,0.5053174198,0.0,2.8,1,69.37034142,0.8555391768,0.01176335628,-0.06442379848,0.1975580849,-7.407120708,0.03899671064,0.1956587743,0.5129563693,0.6530520664,1.131560355,0.128847597,0.07130493512,0.63833279,0.3488121728,0.5121549062,0.2670048895,0.05754266185,0.0,0.0,0.003588386703,0.1012592578,0.07130493512,0.0,0.0
29,0.3604812167,0.1995521021,5.3,1,65.55174189,0.8634440128,-0.01529770976,-0.3298497619,0.29406027,6.019361605,-0.09317335655,0.1619950356,0.535358497,0.8085364418,1.189068085,0.3168218894,0.1648825887,0.4941100256,0.9057675055,0.1246593132,0.1586412663,0.1519393007,0.02220810024,0.0,0.0,0.0,0.05695507989,0.0,0.08571940859
30,0.03540440521,0.7788969146,4.5,1,63.277535,0.9769620892,0.02325898901,-0.03317031982,0.1928058585,0.7898557145,-0.1252038363,0.200247001,0.6245969756,0.4920039026,1.230032693,0.06634063965,0.02278346574,0.6831521207,0.3004134177,0.3509024957,0.4944668907,0.0435571739,0.0,0.0,0.08424988904,0.02047454651,0.02278346574,0.0,0.0
31,0.77245975,0.8947658771,8.8,1,56.57120242,0.9884956501,-0.004266880566,-0.1958894566,0.258303839,-0.4907111367,-0.02772947579,0.04324531409,0.316333925,0.9727676752,1.013667376,0.3186795379,0.05498982027,0.6676530857,0.7772129806,0.1196888839,0.1015883118,0.1905903425,0.005053329629,0.0,0.01517720005,0.0,0.04993649064,0.07309937517,0.0
32,0.1223061271,0.7853340792,4.1,1,62.78813063,0.9118989299,0.002880721322,-0.1463011005,0.2574054455,1.722168181,-0.05587744285,0.05689237121,0.3852995268,1.165766702,1.321887067,0.2283330548,0.03296126955,0.3920413998,1.028986707,0.2043647797,0.07968200035,0.1953717852,0.002156849892,0.0,0.008853579539,0.05773847858,0.02009289529,0.0,0.01071152437
33,0.3733555458,0.2220821781,4.3,1,65.28550318,0.8781724496,0.001258970046,-0.2178953752,0.2487478294,11.64044443,-0.1933958299,0.07163322622,0.5427404494,0.8950145711,1.14202562,0.3673626266,0.2376093093,0.4906117533,0.9211401138,0.1750115817,0.04587392465,0.1297533173,0.07780878655,0.0,0.0,0.0,0.1426934917,0.0,0.01710703098
34,0.1480547854,0.006437164583,3.3,1,57.88563179,0.9757349371,-0.01397804328,-0.0488911191,0.2587348415,3.200623082,0.006481811159,0.07272134988,0.4722392386,1.002956218,1.393331263,0.09778223819,0.03405587388,0.4520831937,1.019674299,0.2974422364,0.07621472809,0.06372636432,0.0,0.0,0.0,0.05680330474,0.03405587388,0.0,0.0
35,0.1287432917,0.7531482563,1.4,1,65.80334009,0.8906573085,0.004287053231,-0.06690805049,0.2747438647,-8.716242383,0.02050491224,0.08583260021,0.4733532424,1.02634686,1.435621487,0.133816101,0.01769115262,0.4144672979,0.9657882533,0.2494433103,0.2139298258,0.1161249484,0.0,0.0,0.006460097592,0.01609511417,0.01769115262,0.0,0.0
36,0.5793448125,0.07402739271,2.7,1,52.66656131,1.017140619,-0.003669805317,-0.1428036203,0.1954260061,7.434986643,-0.2509077982,0.1944017495,0.2547708839,0.8071818007,1.074696385,0.1816580493,0.0570389427,0.7436455659,0.4711369938,0.3796677965,0.2238915946,0.02066991525,0.0,0.0,0.0,0.0,0.0570389427,0.1039491913,0.0
37,0.9430446115,0.4087599511,2.1,1,56.01419279,1.022928735,-0.01099265789,-0.1639300382,0.2528615575,-23.79913596,0.1975130255,0.01224937011,0.5614176402,0.9089087183,1.169576962,0.3129987665,0.1299458444,0.5174242714,0.5772135977,0.4705698537,0.09190462483,0.1830529221,0.0,0.0,0.02988888584,0.0,0.1262305169,0.0,0.003715327478
38,0.7434925094,0.8400499781,2.3,1,52.16817127,1.041366828,0.008222907001,-0.0861874745,0.3153284828,-3.292859059,0.02805601384,0.2454636225,0.3940048654,0.7284780575,1.190536404,0.1594255131,0.1390555505,0.6320534545,0.5874317697,0.2293524793,0.2842534019,0.01139345251,0.0,0.01798462831,0.0894987532,0.0,0.1370690876,0.008976510097,0.001986462913
39,0.6791208636,0.9430446115,9.4,1,59.41369719,0.9290808413,0.006520713512,-0.1237720627,0.1947774515,1.004034957,0.03660510646,0.08785430192,0.3481527679,1.23407412,1.451054349,0.2159736721,0.05760910929,0.3299188105,0.8594138453,0.4734209914,0.1182195121,0.1437355457,0.0491383912,0.003053168634,0.0,0.0,0.0,0.01462901711,0.008470718088
