,Replica,run,conf,frame,tpore,x0,y0,x1,y1,x2,y2
110,APM_2,51,9,16,1.6,275,270,,,,
111,APM_2,52,9,23,2.3,259,274,,,,
112,APM_2,53,9,55,5.5,263,261,287,2,,
113,APM_2,54,9,31,3.1,267,198,273,267,,
114,APM_2,55,9,40,4.0,284,269,,,,
115,APM_2,56,9,26,2.6,34,234,,,,
116,APM_2,57,9,19,1.9,261,258,,,,
117,APM_2,58,9,49,4.9,260,207,,,,
118,APM_2,59,9,38,3.8,248,231,,,,
119,APM_2,60,9,26,2.6,200,118,,,,
120,APM_3,1,9,40,4.0,217,5,,,,
121,APM_3,2,9,51,5.1,235,253,,,,
122,APM_3,3,9,25,2.5,65,80,,,,
123,APM_3,4,9,25,2.5,290,36,,,,
124,APM_3,5,9,17,1.7,249,269,,,,
125,APM_3,6,9,43,4.3,207,24,,,,
126,APM_3,7,9,20,2.0,254,262,,,,
127,APM_3,8,9,55,5.5,52,137,,,,
128,APM_3,9,9,14,1.4,49,269,,,,
129,APM_3,10,9,31,3.1,14,253,,,,
130,APM_3,11,9,32,3.2,5,66,,,,
131,APM_3,12,9,31,3.1,96,297,,,,
132,APM_3,13,9,43,4.3,25,234,,,,
133,APM_3,14,9,71,7.1,73,289,,,,
134,APM_3,15,9,21,2.1,290,110,,,,
135,APM_3,16,9,77,7.7,41,240,,,,
136,APM_3,17,9,56,5.6,297,122,,,,
137,APM_3,18,9,47,4.7,219,37,,,,
138,APM_3,19,9,64,6.4,23,261,,,,
139,APM_3,20,9,37,3.7,32,246,27,242,,
140,APM_3,21,9,32,3.2,295,117,,,,
141,APM_3,22,9,25,2.5,37,249,,,,
142,APM_3,23,9,43,4.3,12,184,56,244,,
143,APM_3,24,9,37,3.7,293,116,,,,
144,APM_3,25,9,13,1.3,153,265,,,,
145,APM_3,26,9,31,3.1,29,249,,,,
146,APM_3,27,10,7,10.7,275,87,280,10,,
147,APM_3,28,9,33,3.3,285,118,,,,
148,APM_3,29,9,31,3.1,153,7,,,,
149,APM_3,30,9,66,6.6,135,297,300,118,,
150,APM_3,31,9,45,4.5,13,244,,,,
151,APM_3,32,9,88,8.8,239,278,,,,
152,APM_3,33,9,43,4.3,32,240,,,,
153,APM_3,34,9,49,4.9,107,67,,,,
154,APM_3,35,9,33,3.3,47,3,,,,
155,APM_3,36,9,14,1.4,41,235,,,,
156,APM_3,37,9,27,2.7,177,20,,,,
157,APM_3,38,9,21,2.1,293,127,,,,
158,APM_3,39,9,23,2.3,231,261,,,,
159,APM_3,40,9,94,9.4,212,294,250,70,,
160,APM_3,41,9,20,2.0,58,261,286,8,,
161,APM_3,42,9,37,3.7,53,132,,,,
162,APM_3,43,9,40,4.0,107,65,,,,
163,APM_3,44,9,59,5.9,56,290,,,,
164,APM_3,45,9,56,5.6,39,237,290,305,,
165,APM_3,46,9,34,3.4,35,237,,,,
166,APM_3,47,9,19,1.9,59,288,,,,
167,APM_3,48,9,39,3.9,247,254,,,,
168,APM_3,49,9,25,2.5,31,250,,,,
169,APM_3,50,9,37,3.7,245,285,,,,
170,APM_3,51,9,21,2.1,30,234,,,,
171,APM_3,52,9,58,5.8,74,292,,,,
172,APM_3,53,9,45,4.5,20,9,,,,
173,APM_3,54,9,71,7.1,124,172,,,,
