,xp (A),yp (A),tp (ns),thickness (A),mean curvature,apl,lipid order
0,217,5,4.0,32.0528708,0.03963056037,53.90954574,0.1396921361
1,235,253,5.1,31.92665854,-0.01580781416,84.73054191,0.162871122
2,67,80,2.3,28.60438559,0.01518452695,82.9164483,0.1353097605
3,290,36,2.5,31.39869257,-0.0141752234,69.43786244,0.1486347995
4,249,269,1.7,30.42418691,0.003690089338,63.29956599,0.1627542421
5,207,24,4.3,31.18688571,0.006365184106,75.06281587,0.2381734556
6,254,262,2.0,32.30238917,-0.01165915073,85.2850107,0.2146025578
7,52,137,5.5,32.0581851,-0.0003520824205,68.71878513,0.08765052457
8,49,269,1.4,30.72886418,0.004245382718,80.33702508,0.1802992527
9,14,253,3.1,32.36658122,-0.01365185367,85.70035911,0.1652148285
10,4,66,3.2,30.69624189,0.02442666829,64.76862912,0.1273242508
11,95,296,3.1,32.81315258,0.02898201911,93.02754707,0.1084736998
12,25,234,3.0,31.90744004,0.02335746581,76.28777415,0.2048976054
13,72,288,7.1,34.20579276,-0.01585719194,89.8514575,0.2101882977
14,290,110,2.1,32.96383315,-0.03256176776,62.01259298,0.1357751188
15,41,239,7.7,30.84654673,-0.008400488574,80.73122247,0.1484940127
16,121,69,3.8,28.73632587,0.0241266053,93.74308406,0.106821331
17,218,36,4.7,31.14282291,0.01183785046,78.43022466,0.1097286729
18,244,246,4.3,29.96636516,-0.01447172532,96.97394949,0.1518763793
19,245,268,3.1,31.73813567,-0.02143922842,52.94216695,0.1037310762
20,294,117,3.2,30.38285036,0.009977947707,82.61052132,0.1786591722
21,47,245,2.3,32.63154817,-0.01728892504,110.379903,0.1239922831
22,56,246,4.1,27.67067132,-0.001668228435,74.1529279,0.1193744898
23,297,118,3.4,33.69909748,0.01397852267,87.64012062,0.09540783673
24,152,264,1.3,35.46198307,-0.01074046394,64.61762371,0.159946912
25,28,249,3.1,32.57833805,0.02887254302,58.06976031,0.2108009737
26,229,40,5.1,29.43962346,0.00338728797,63.59959595,0.1123683984
27,275,118,2.7,33.32657844,0.004929152236,75.82994965,0.209151766
28,159,2,2.8,28.61343117,0.02676154041,72.28452003,0.06392382306
29,113,63,5.3,30.31714609,0.01102472469,81.19666377,0.2210475725
30,13,244,4.5,34.33203621,-0.01147073029,77.46926615,0.2479648122
31,240,278,8.8,29.54296478,0.04908626512,80.23174176,0.1255060509
32,35,241,4.1,33.0571552,0.018768892,94.02626247,0.1944387955
33,115,68,4.3,31.09689872,-0.02069190867,94.83779191,0.1913861507
34,47,3,3.3,30.85412716,-0.02706540347,75.70875292,0.09559452609
35,41,235,1.4,32.7581087,0.02810419072,91.40473976,0.2569334924
36,177,20,2.7,30.79541227,0.01250162763,70.18790749,0.2025594818
37,293,127,2.1,32.35884243,-0.01150292913,60.43324602,0.1627488898
38,231,261,2.3,34.60230027,-0.0007940376382,85.32295453,0.1298029479
39,212,294,9.4,27.23575349,-0.01466476577,79.95594168,0.06486462645
40,58,261,2.0,31.11569381,0.009383084262,109.560453,0.1610215585
41,53,132,3.7,30.07022815,-0.008311005252,61.18535813,0.1196242236
42,107,65,4.0,30.46505979,-0.01429403783,70.1854241,0.1117182893
43,56,290,5.9,30.19500202,-0.001202307963,83.37861367,0.2160659656
44,287,3,5.5,32.88180694,-0.008447746772,90.36151768,0.1661284455
45,35,237,3.4,33.299327,-0.01014172258,78.13951861,0.1423515136
46,61,285,1.7,30.64173648,0.01701518104,81.74383281,0.2979623338
47,247,254,3.9,32.65136713,0.01839809482,78.67038848,0.231701085
48,31,250,2.5,32.42663215,0.02249122697,73.69673626,0.1395999952
49,245,285,3.7,29.12651189,0.004568340036,95.34635094,0.1106309551
50,30,234,2.1,30.7252179,-0.0161858445,84.07656938,0.1829661906
51,74,292,5.8,28.4215342,0.01880881105,61.55480007,0.104478553
52,20,9,4.5,28.83606379,0.006405911118,73.80279266,0.04367648604
53,208,160,5.4,34.26984075,0.02883275754,64.07863196,0.1832437708
54,181,285,3.8,27.187732,0.006942014117,53.33340879,0.1422976697
55,282,40,3.4,32.36697471,-0.003603102249,59.72904497,0.191413361
56,54,241,3.0,29.70362491,-0.009474880468,76.5876401,0.04660769374
57,146,283,2.7,30.16511755,-0.02651671816,64.23392705,0.1741970886
58,297,35,3.7,32.42080008,-0.007329864932,95.66704463,0.1269254286
59,81,130,5.1,30.4857562,0.0001922284823,53.2036541,0.1392225674
