,x_rel,y_rel,tpore,frame,parea_mean,densS7_mean,mcurv_mean,charg_mean,order_mean_mean,parea_diff,densS7_diff,FS,MU,PU,ZWIT,NCHG,SUG,CHOL,PC,PE,SM,PS,GM,CE,LPC,DAG,PI,PA,PIP
14,0.3917650976,0.7704713587,4.9,1,53.16925772,0.9327275866,-0.001089055954,-0.06022020275,0.1694420035,-16.07803135,0.1776657153,0.04601538242,0.4816112559,0.3534499156,0.7053854584,0.1204404055,0.04537175359,1.118923446,0.451957044,0.2163941544,0.03465256539,0.1032309213,0.02816226935,0.0,0.002381694585,0.02708842068,0.01720948423,0.0,0.0
15,0.5386770093,0.7933243227,4.6,1,54.74695903,0.9998495961,0.01382633095,-0.05911112687,0.1575288235,8.888344345,-0.3234355032,0.1501127433,0.3198018364,0.4136824832,0.6116625161,0.0817334966,0.0,1.116402937,0.3556456983,0.242289053,0.0,0.04524473946,0.0,0.001599595677,0.01372776474,0.1886014546,0.0,0.03648875714,0.0
16,0.5484711367,0.6300888654,12.5,1,70.04197313,0.8634983055,-0.01356891956,-0.1325293578,0.2085672141,-34.20226265,0.2697005261,0.1699770092,0.114557111,0.9941602193,1.013635624,0.2650587156,0.01222709089,0.7213056606,0.1996273503,0.6711976206,0.142810653,0.2528316247,0.0,0.0,0.0,0.0,0.01222709089,0.0,0.0
17,0.3950298068,0.7737360679,8.9,1,53.50430634,0.9312780586,-0.0003944633072,-0.06707761614,0.1752429601,-16.00450919,0.1672451656,0.04151203761,0.4769138024,0.3933109493,0.7253057096,0.1341552323,0.0332222882,1.088263211,0.4652141521,0.2285735303,0.02987104915,0.1215621734,0.02062922932,0.0,0.001646978042,0.03164661814,0.01259305887,0.0,0.0
18,0.6039711922,0.2938238232,19.9,1,50.24576867,0.9849141677,-0.008969526204,-0.07810437967,0.1983683554,-10.58531732,0.1839466528,0.2398608957,0.3097128257,0.5934934841,0.7653829695,0.1144659035,0.2224216459,0.8569327945,0.2993215733,0.40860884,0.05584308368,0.06288956135,0.1757343767,0.09237302869,0.001609472518,0.0,0.02581584127,0.0,0.02087142793
19,0.6007064831,0.7247654306,5.8,1,56.51036712,0.9145918182,0.006064169368,-0.01695848858,0.2000772231,9.722806367,-0.2451229968,0.1455794635,0.2090836749,0.6824095713,0.8557801562,0.03089556958,0.1335365317,0.9629272903,0.607942786,0.2126663434,0.0,0.0225460814,0.1282084511,0.02218853284,0.0351710269,0.0,0.005328080622,0.003021407567,0.0
20,0.4080886434,0.7835301953,4.1,1,54.70640118,0.9281879284,0.003678323349,-0.09645475053,0.1921706584,-13.14970583,0.09664038951,0.06459750631,0.4478302478,0.5030425508,0.7788034318,0.1929095011,0.008448855188,0.9845296951,0.4909372601,0.2503202633,0.03754590838,0.1901312172,0.005670571358,0.0,0.0,0.0380868006,0.00277828383,0.0,0.0
21,0.6953830483,0.7280301398,11.6,1,52.00237201,0.9534778406,0.02035337488,-0.06253372764,0.1477603536,11.15511893,-0.2631384545,0.003951874257,0.2782784418,0.7223065952,0.8638094691,0.1197364591,0.1095558363,0.9954630887,0.3755454042,0.4882640649,0.0,0.02584060966,0.0209909831,0.0,0.0,0.0,0.08856485325,0.005330996185,0.0
22,0.5909123556,0.6757947934,13.5,1,53.32698054,0.9878394532,0.01673240205,-0.03858766074,0.1625131568,5.092829967,-0.2125944857,0.1137815131,0.07802563692,0.9833783205,1.032208567,0.07027163842,0.07846597323,0.8248145294,0.4669269301,0.5288930876,0.03380238676,0.05473770368,0.06293203849,0.009773226904,0.002586162247,0.0,0.01380801397,0.0,0.001725920768
23,0.4048239342,0.7965890319,13.7,1,54.40330828,0.909223048,-0.001353534447,-0.08059341149,0.1890803329,-13.69454692,0.134168978,0.0587021388,0.3815956842,0.6599569834,0.8603609596,0.161186823,0.004484219093,0.8997451936,0.4105399157,0.4134726221,0.03634842182,0.1590078403,0.002305236448,0.0,0.0,0.07640178741,0.002178982645,0.0,0.0
