,xp (A),yp (A),tp (ns),thickness (A),mean curvature,apl,lipid order
0,10,260,,35.18555247,-0.01194076697,93.97098818,0.1720994757
1,190,250,,37.26442442,-0.04816904654,68.53310542,0.3011443672
2,220,290,,38.52066792,0.0118957147,57.60009475,0.2091638897
3,100,0,,36.37409445,-0.002238559761,77.72919672,0.2650050055
4,280,90,,32.25535388,-0.01922864858,76.68482326,0.1218405895
5,300,180,,35.03550054,-0.007884868023,79.21941434,0.2289963302
6,110,80,,32.55263238,0.02394135621,64.80676586,0.1801075106
7,30,60,,34.43232225,-0.03296405481,61.63746819,0.1834361722
8,170,10,,31.78626579,-0.009701910841,66.78639515,0.1322740056
9,30,290,,33.4333747,-0.006830937454,71.96473608,0.2885407829
10,220,310,,36.68415378,-0.02974717944,71.11950603,0.1632790869
11,180,90,,37.28791709,-0.003572483934,67.68408742,0.2223317223
12,0,250,,35.31655111,0.006204353962,101.4276945,0.1592216832
13,260,100,,36.54777793,-0.01680304231,86.38668214,0.2208741777
14,100,100,,36.82729969,-0.0113032067,67.43563759,0.2093553227
15,50,180,,34.28321872,0.0143044513,84.68009146,0.2717296234
16,170,180,,35.38833458,0.001549399067,73.24508405,0.1871163443
17,220,100,,36.94077154,-0.009442193605,90.67098883,0.2729143462
18,290,130,,35.40190509,-0.002024086857,77.9893213,0.2497017479
19,230,110,,36.49036116,-0.02019786219,63.15065327,0.2640827247
20,280,110,,36.28432664,0.00292726011,46.03956586,0.2760998996
21,70,30,,35.20245271,-0.0216316501,88.99506735,0.1992772259
22,140,0,,36.66234021,-0.02149375769,104.264224,0.147236555
23,30,260,,37.28602848,0.006422117588,79.58145712,0.2783077116
24,90,290,,34.3432132,-0.001351725846,55.97241368,0.2042548291
25,280,170,,36.50032558,0.004750691128,77.56171512,0.2371006589
26,210,310,,37.0915137,0.006280632113,62.78666208,0.2101396695
27,140,280,,38.64349764,-0.005675942135,82.34825154,0.2866375668
28,130,40,,35.8140507,-0.008597749404,68.62512864,0.1934692027
29,40,60,,34.63093757,-0.02579138225,48.87384997,0.1805566828
30,120,210,,34.87546698,-0.007378086726,78.68046365,0.187550241
31,130,220,,34.81008783,-0.003631972241,67.06843918,0.20308219
32,70,80,,37.21229497,0.003605902672,61.35657748,0.231204991
33,60,70,,35.83920185,-0.02653571132,82.41255016,0.255827015
34,250,310,,37.62263058,-0.02720473289,82.35379096,0.1394022215
35,290,160,,35.57440746,-0.008661062446,79.21718565,0.1891089237
36,90,90,,37.70824539,-0.007005829464,76.72269377,0.2785249106
37,140,230,,34.04104447,0.008557571597,48.74932944,0.2056454669
38,160,50,,36.6481916,0.001587496333,80.03115086,0.2269236097
39,270,30,,36.6062001,0.0145542923,87.63354709,0.2021523875
40,260,120,,33.76897736,0.0349177018,58.2857746,0.239714006
41,110,10,,33.22671189,-0.01438941504,59.66048097,0.1903634914
42,170,210,,34.56578791,0.0207266154,63.0237621,0.1770634803
43,80,80,,32.11852854,-0.02735623925,76.7663871,0.2534201368
44,150,290,,35.80308412,-0.003089985446,66.80936092,0.167969697
45,210,200,,36.6707575,-0.02298791374,75.03881563,0.2096678809
46,150,220,,31.99087266,-0.0006579538406,72.86692256,0.1207739964
47,200,20,,36.81485921,0.003161528965,70.07117529,0.2229292145
48,0,10,,36.47231745,0.02177701832,74.29205032,0.1772779261
49,40,100,,36.45201618,0.02291831408,61.38110155,0.2301708704
50,130,20,,37.03826263,-0.01804229803,66.74064781,0.18203045
51,140,250,,40.28193858,0.02343105376,62.95113836,0.2810260039
52,290,80,,34.22265769,0.03220450341,56.82029281,0.2518711717
53,220,150,,34.17305637,-0.01381805871,81.42831732,0.2233762408
54,200,300,,34.65459352,0.01803039117,48.48842739,0.1894573665
55,140,190,,34.78696293,0.01021569789,80.5319957,0.2039493171
56,130,270,,37.60459931,0.005713821938,71.54167924,0.1707027284
57,150,250,,36.11425499,0.004784450669,71.35853418,0.2262032325
58,90,150,,34.91331486,-0.009994769956,89.5421298,0.2125457207
59,240,120,,37.10695093,0.004490260289,59.89590197,0.24525149
60,100,110,,36.4381511,0.006648875153,64.26780258,0.2738989897
61,60,250,,36.26581139,-0.01620087601,59.43947557,0.2267479155
62,200,200,,34.72279753,0.002080588698,86.43910334,0.1259015426
63,160,10,,28.96099299,-0.0359148486,67.93972254,0.05494522944
64,160,300,,32.94013541,-0.01498734089,84.13553755,0.2267025822
65,30,100,,36.72246446,0.01665299671,80.53429244,0.2796557706
66,210,0,,36.01286355,-0.004496416612,77.23902452,0.1404987644
67,50,170,,35.97805647,0.003315929809,61.88847126,0.156641788
68,10,70,,32.4271909,0.01402986586,63.67433915,0.175798106
69,300,10,,34.52079232,-0.009404469194,64.98310736,0.1296567641
70,0,270,,34.85950336,0.006011974121,75.14050468,0.1791562002
71,0,110,,33.79351888,0.0277545077,78.10090966,0.2210500528
72,290,210,,35.15738342,-0.002186952347,58.03683828,0.2837601174
73,70,100,,37.5387225,0.009748103335,56.61411368,0.2521546464
74,150,0,,32.24691158,0.01973680013,67.76391735,0.0757087083
75,280,150,,34.58302266,0.0005362484042,110.651706,0.2418067332
76,230,280,,33.75859394,0.02632798589,47.76548666,0.2073565164
77,240,40,,36.1984921,-0.02588717732,78.46774228,0.2110931921
78,10,270,,34.02615875,-0.01619183876,67.75768171,0.1638366537
79,90,80,,32.73369269,-0.07683120808,47.46410127,0.1890301671
80,310,220,,35.5364864,0.03333018815,65.92931789,0.189616468
81,0,210,,34.74940948,-0.01018403495,63.10648875,0.1323885567
82,260,150,,38.11390085,-0.0105586632,86.5074844,0.1981503814
83,0,220,,36.81713166,0.003213789774,92.1277169,0.1767738579
84,180,40,,34.22675341,-0.01237809442,74.78831939,0.2127084404
85,70,110,,36.06002861,-0.005243526492,70.42131825,0.191432146
86,30,70,,33.36181641,-0.0002165052148,96.7167877,0.1666581669
87,140,210,,37.90110021,0.0005040353228,69.43925591,0.2622981673
88,240,80,,30.26269766,-0.01024121214,98.61154359,0.1037893644
89,240,60,,35.34895151,-0.01844957365,81.24584823,0.2009299983
90,220,10,,36.23474892,-0.002871720229,53.9346932,0.1646117764
91,220,300,,36.39444888,0.02823402296,53.75040624,0.2654821784
92,30,310,,34.76546378,0.006191658991,78.31675313,0.1107870029
93,0,50,,32.83598364,-0.0234388054,76.90616314,0.2192792526
94,170,260,,33.45843819,-0.002025137141,62.15232623,0.1281587002
95,80,130,,31.80194965,0.01072985999,66.85563804,0.1786440373
96,160,270,,34.19349697,-0.02166082434,57.23765116,0.1819305752
97,20,210,,36.638292,0.01882949865,46.37469194,0.2933675941
98,180,220,,35.89376218,0.002383793836,60.44110615,0.2489041224
99,300,140,,35.47085455,0.02430806728,79.22571314,0.1955100314
100,60,110,,36.97149826,-0.00496725418,75.25097163,0.2351151758
101,20,180,,36.75388763,0.01229100634,81.69618286,0.1888465171
102,70,180,,31.37659753,-0.02593603351,70.14632379,0.1872470244
103,60,230,,35.84617785,0.00948201465,75.48958498,0.2326650573
104,80,180,,34.58880853,-0.01996792773,69.99805599,0.1812714038
105,150,40,,33.74021846,0.01098351091,66.84798732,0.2086468349
106,0,180,,37.83215774,-0.01001128302,111.3187345,0.1864844575
107,10,240,,33.74303412,0.003432699353,69.09025288,0.2165797677
108,30,50,,33.31369766,-0.01074112139,70.09064462,0.2159966581
109,210,10,,38.19577399,0.009149929775,66.36027538,0.2200188628
110,0,60,,36.36175049,0.03205982128,71.58000531,0.1856089365
111,150,30,,34.23474936,-0.01229898691,62.3668663,0.2374154401
112,200,170,,35.61347711,0.02117621074,71.00578633,0.2112710938
113,110,220,,33.64033113,0.0126195296,60.14567511,0.1639394397
114,140,110,,33.83601227,0.004124261165,89.68053713,0.1928930781
115,50,50,,36.40855535,-0.01689570774,58.686455,0.2173091771
