,xp (A),yp (A),tp (ns),thickness (A),mean curvature,apl,lipid order
0,210,310,,37.26059761,0.03316970145,65.4282214,0.180411509
1,80,100,,37.53271212,-0.009016013702,60.86859898,0.2112181423
2,150,230,,30.89263556,0.03633195545,63.33807401,0.1520539608
3,230,120,,36.98861742,-0.01777294489,71.38668695,0.2249179234
4,150,280,,36.47174738,0.00439655313,70.07336224,0.2290525419
5,80,160,,36.23735193,-0.01987703354,83.71863852,0.1744221023
6,190,50,,37.40467745,-0.01281053632,55.43652567,0.2701059479
7,0,230,,33.76376553,-5.59e-05,61.12275415,0.1917650822
8,120,120,,33.92705494,0.001630119747,74.54271194,0.1900083383
9,180,200,,39.43231686,-0.004476634277,54.61683898,0.2324167673
10,220,240,,32.36999783,-0.07723262407,51.35148551,0.1485819978
11,100,90,,31.75521535,0.007364908674,88.10793744,0.09957034432
12,20,0,,37.43676159,-0.02623984743,59.23353339,0.2249988491
13,220,310,,31.78658786,0.01430007355,71.07979445,0.1478350167
14,230,220,,35.3537639,0.01920563294,93.87993915,0.1896201247
15,240,230,,34.17753776,0.01186175016,78.03234566,0.2049024579
16,240,140,,33.92911801,-0.004725222302,64.96493204,0.2630313732
17,240,120,,34.67269137,-0.00103005547,69.34583367,0.1294638582
18,120,50,,35.524579,-0.007136438933,71.58946534,0.2261176748
19,140,40,,37.6031352,0.00703849562,75.06694852,0.2189846558
20,130,50,,33.04693344,-0.0186711278,62.87211525,0.1618235139
21,200,300,,36.48354668,-0.002978851257,63.05610562,0.1948121483
22,160,240,,34.26129522,0.01331096699,79.05091017,0.1980192891
23,310,150,,30.7305242,0.05423401857,92.34631565,0.1499530616
24,150,70,,36.11528307,0.02468841085,69.80180684,0.1902369841
25,180,240,,39.18359823,-0.00850121925,74.51754995,0.2402034148
26,170,260,,31.485922,0.01352793661,53.82397141,0.1606713614
27,180,20,,36.5449125,-0.02332379034,53.71346347,0.1855874683
28,210,50,,36.67989228,-0.005342785078,90.95480641,0.2270336772
29,90,300,,32.63328977,-0.03976766143,71.38595148,0.08480819928
30,310,240,,35.11128362,0.009140113489,59.49200904,0.2289582122
31,300,110,,34.11819391,0.02241209067,75.50694389,0.1109712637
32,150,30,,36.96156312,0.002878155668,62.54391416,0.2706151058
33,150,240,,31.85809874,-0.02042695504,65.5575487,0.134133924
34,240,180,,36.48580856,0.002604102088,74.09160818,0.3011633197
35,210,210,,33.2779622,-0.01172087134,85.7454173,0.1850356603
36,310,140,,35.96081854,-0.01185268571,90.74937236,0.2490337998
37,80,220,,37.77087939,-0.01533224645,96.63813215,0.1581021633
38,260,190,,33.08002538,-0.01111923145,52.67988768,0.2142119967
39,290,130,,36.03621201,-0.0336174771,53.64944295,0.2252101922
40,260,150,,35.22955452,-0.01680133373,59.73993645,0.1797950514
41,270,40,,35.59211841,-0.005477225719,80.82203316,0.174649735
