,xp (A),yp (A),tp (ns),thickness (A),mean curvature,apl,lipid order
0,3,40,1.8,30.78788513,0.02509814447,107.1964087,0.122064115
1,12,248,6.7,34.02365125,0.001895543063,87.18706284,0.1452477031
2,11,295,3.6,26.47400933,0.08415064928,45.42875072,0.04999101867
3,61,213,2.9,29.97158089,0.018179382,82.02747304,0.1502545641
4,164,107,1.4,31.94459993,-0.00827273666,110.7540594,0.1208720398
5,148,172,1.5,29.55307447,0.03517773969,74.9515288,0.1362553688
6,164,97,1.4,31.50290786,-0.004737202724,73.14396996,0.05209157042
7,163,102,5.5,31.25787542,-0.01545184061,93.06853646,0.119519596
8,184,136,1.5,26.11441691,0.02818540629,78.658325,0.03615909983
9,222,275,5.1,32.06863974,0.0005490308228,100.2114751,0.1809748825
10,90,245,3.5,32.52288429,-0.01164939647,82.17301777,0.104005718
11,57,226,4.8,31.19011277,-0.006218567003,93.60058342,0.1011258121
12,50,131,2.4,32.79191563,0.01332961467,85.54198069,0.2562533239
13,228,261,6.8,32.02297158,0.005313600186,85.13335712,0.1762446091
14,54,171,7.5,30.1211443,0.02281572045,66.83411721,0.1328276541
15,48,123,3.3,30.35660059,0.01173328765,76.17702311,0.1259002035
16,44,108,2.2,34.18186134,0.01331724689,82.16009652,0.1927172622
17,6,95,3.3,30.51718332,0.0001094199816,86.64399899,0.1087964048
18,38,90,2.4,33.54958789,-0.01322493095,84.58051496,0.2047147787
19,46,224,5.4,30.29041489,0.02453226789,69.54195431,0.1185912317
20,25,25,2.5,28.93831027,-0.009699532752,58.53186186,0.1754557927
21,90,243,1.7,35.92309645,-0.00956209899,85.13369039,0.2051789313
22,70,247,2.4,31.41948432,-0.01316257311,70.78649566,0.1466987372
23,67,66,4.0,32.07366849,0.0001719573622,75.17000971,0.1400595424
24,278,216,2.6,30.56685359,0.004528828633,92.27827411,0.1475367897
25,13,44,1.1,31.90741161,-0.01793873265,65.69081917,0.184583914
26,7,31,2.9,34.73017672,0.02168033768,85.60132451,0.1874214045
27,151,163,4.0,33.24094798,0.001583167834,72.60214261,0.1767056689
28,168,115,2.5,32.16426827,0.0031864628,88.66284296,0.151672642
29,154,120,2.8,34.09298087,-0.01514566166,78.56654026,0.1613475134
30,259,5,2.7,33.40290298,-0.0243363802,80.89117241,0.1309104437
31,47,254,3.3,34.13432085,0.0242553166,85.17544557,0.2481586621
32,36,67,4.8,30.9907499,-0.01287904527,81.82758352,0.1015473968
33,172,108,5.4,34.70654957,0.007399620444,95.43196719,0.2016522345
34,192,267,2.4,32.50535312,0.004601961791,81.75953295,0.07333436778
35,118,235,5.4,30.85736184,0.02585936534,59.80744916,0.07022109263
36,218,262,1.5,32.64311352,0.01496863706,91.94749617,0.1932677978
37,45,83,2.2,31.21439649,-0.0008463952735,101.5286983,0.1383900408
38,246,15,5.6,31.04868862,0.00726411651,70.77953787,0.2052551633
39,155,133,8.6,29.96307906,-0.0006302369769,88.2881979,0.156076524
40,289,213,2.3,30.19205866,-0.008484378437,79.44282521,0.1056237472
41,61,117,4.0,31.87663301,0.007279652842,92.29215564,0.2180328488
42,158,178,3.2,32.95555248,0.00702044805,73.75115468,0.1647906004
43,295,214,3.8,26.87051172,0.01685711818,95.70239917,0.1282965955
44,23,89,1.4,32.26583871,-0.003346657736,65.74627184,0.1299948645
45,165,96,6.1,28.16161925,-0.004297229295,95.84137781,0.1311598409
46,125,166,1.3,34.42586603,-0.0115819306,78.48066027,0.2046323369
47,295,224,5.6,32.48479531,0.02811815011,76.42181991,0.1698875546
48,277,209,4.8,29.71797253,0.01716300676,81.59617771,0.1305283528
49,13,128,9.1,33.77604442,0.01799058008,78.38245429,0.1906701463
50,26,127,9.1,36.39093041,0.008885415576,100.1950057,0.2196917365
51,194,275,2.2,28.85650706,-0.01889221246,66.10757857,0.06183403737
52,149,165,2.9,29.83412154,0.0168158638,66.4301827,0.0930773481
53,101,258,5.0,31.10112063,-0.008617022799,110.9345668,0.08786050295
54,90,128,2.8,36.77320832,0.008921526038,116.705529,0.1954281202
55,12,51,5.7,30.2839408,0.007362712845,102.785558,0.1976512441
56,182,283,7.1,31.55579528,0.03612001272,66.1716689,0.1782659655
57,53,62,6.6,29.63266074,0.001431061522,94.65378803,0.1452563248
58,81,278,2.8,31.85539021,0.009982946135,94.84023257,0.09320704744
59,252,53,1.8,27.21605617,0.02836234903,55.07633044,0.1148862069
